player_id,season,week,position,team,snap_pct,routes,tprr,rush_share,target_share,goalline_share,two_min_share,yprr,yac_per_rec,mtf,succ_rate,epa_per_play_qb,team_epa_play,team_pace,team_rz_plays,team_pass_rate,injury_status,dnp_weeks_rolling,sos_ctx
00-0032104,2024,1,RB,LV,54.381,36.203,0.438,1.0,1.0,1.0,1.0,1.585,7.321,1.302,0.469,0.0,0.024,57.276,15.315,,healthy,0,54.814
00-0032128,2024,1,WR,SF,72.646,21.912,0.691,1.0,1.0,1.0,1.0,1.653,3.047,2.451,0.603,0.0,0.126,49.723,11.695,,healthy,0,33.278
00-0032134,2024,1,TE,PHI,64.534,31.623,0.28,1.0,1.0,1.0,1.0,2.368,5.344,2.398,0.546,0.0,0.013,59.148,8.424,,healthy,0,60.783
00-0032141,2024,1,TE,CLE,63.533,32.831,0.548,1.0,1.0,1.0,1.0,1.052,3.64,3.114,0.45,0.0,0.004,56.802,10.889,,healthy,0,32.425
00-0032156,2024,1,QB,TEN,71.427,0.0,0.0,1.0,0.0,1.0,1.0,1.488,3.848,1.501,0.539,-0.002,0.122,62.312,8.971,,healthy,0,50.332
00-0032208,2024,1,WR,ATL,38.692,30.588,0.581,1.0,1.0,1.0,1.0,1.555,6.201,0.619,0.383,0.0,0.119,53.782,10.391,,healthy,0,49.078
00-0032211,2024,1,WR,SEA,59.986,42.515,0.666,1.0,1.0,1.0,1.0,1.249,7.121,3.54,0.395,0.0,-0.03,69.776,10.86,,healthy,0,55.646
00-0032268,2024,1,QB,WAS,49.915,0.0,0.0,1.0,0.0,1.0,1.0,1.419,11.419,2.421,0.497,0.188,0.1,51.755,10.826,,healthy,0,33.181
00-0032385,2024,1,WR,TB,51.979,29.133,0.957,1.0,1.0,1.0,1.0,2.077,10.869,1.743,0.451,0.0,0.144,51.868,12.066,,healthy,0,51.698
00-0032392,2024,1,TE,NE,60.323,28.723,0.331,0.295,1.0,1.0,1.0,2.776,4.349,0.563,0.559,0.0,0.049,53.246,12.646,,healthy,0,58.494
00-0032394,2024,1,TE,TEN,71.833,27.987,0.365,1.0,1.0,1.0,1.0,1.017,4.97,2.988,0.333,0.0,-0.017,57.55,12.508,,healthy,0,55.778
00-0032398,2024,1,WR,WAS,71.2,40.697,0.372,1.0,1.0,1.0,1.0,0.918,6.71,2.042,0.377,0.0,-0.018,61.628,13.274,,healthy,0,43.514
00-0032434,2024,1,QB,SF,50.198,0.0,0.0,1.0,0.0,1.0,1.0,3.245,9.769,2.392,0.425,0.053,-0.023,59.841,12.366,,healthy,0,62.213
00-0032436,2024,1,QB,WAS,66.815,0.0,0.0,1.0,0.0,1.0,1.0,1.159,10.596,0.955,0.608,-0.039,0.108,62.551,14.423,,healthy,0,53.863
00-0032464,2024,1,WR,DET,24.943,21.016,0.657,1.0,1.0,1.0,1.0,1.447,5.4,1.738,0.453,0.0,0.008,51.034,8.435,,healthy,0,43.562
00-0032543,2024,1,WR,HOU,62.181,33.493,0.288,1.0,1.0,1.0,1.0,1.613,5.101,2.435,0.416,0.0,0.133,70.238,14.205,,healthy,0,47.065
00-0032688,2024,1,WR,MIA,49.72,35.838,0.592,1.0,1.0,1.0,1.0,1.787,9.088,1.907,0.396,0.0,-0.05,57.166,13.784,,healthy,0,48.322
00-0032764,2024,1,RB,BAL,70.151,16.193,0.439,1.0,1.0,1.0,1.0,2.347,3.157,3.426,0.431,0.0,-0.031,56.84,13.186,,healthy,0,53.549
00-0032775,2024,1,WR,LA,54.558,30.571,0.308,1.0,1.0,1.0,1.0,1.796,4.039,1.273,0.39,0.0,0.078,60.541,12.753,,healthy,0,34.522
00-0032791,2024,1,WR,ATL,21.817,38.286,0.762,0.884,1.0,1.0,1.0,2.973,7.178,1.669,0.377,0.0,-0.024,60.979,8.533,,healthy,0,59.712
00-0032792,2024,1,QB,DET,100.0,0.0,0.0,1.0,0.0,1.0,1.0,2.758,4.684,3.853,0.466,0.146,0.119,57.904,15.389,,healthy,0,41.281
00-0032918,2024,1,RB,MIN,36.725,29.641,0.509,1.0,1.0,1.0,1.0,1.838,4.749,0.753,0.648,0.0,0.057,65.454,8.29,,healthy,0,37.938
00-0032950,2024,1,QB,KC,52.675,0.0,0.0,1.0,0.0,1.0,1.0,2.216,8.851,2.509,0.551,-0.052,0.132,59.569,7.852,,healthy,0,41.204
00-0032951,2024,1,WR,IND,42.704,35.719,0.82,1.0,1.0,1.0,1.0,3.334,2.617,3.333,0.489,0.0,0.117,62.657,10.848,,healthy,0,42.986
00-0032977,2024,1,WR,CLE,47.37,39.359,0.666,1.0,1.0,1.0,1.0,0.999,3.176,3.7,0.52,0.0,0.016,54.469,9.681,,healthy,0,52.317
00-0033009,2024,1,WR,TEN,34.392,36.323,0.458,1.0,1.0,1.0,1.0,1.062,8.079,0.804,0.393,0.0,0.076,61.152,13.727,,healthy,0,42.903
00-0033040,2024,1,WR,MIA,69.81,21.418,0.385,1.0,1.0,1.0,1.0,1.368,9.752,0.836,0.588,0.0,0.121,57.298,12.582,,healthy,0,34.498
00-0033045,2024,1,RB,LAC,41.235,33.884,0.431,1.0,1.0,1.0,1.0,1.062,9.541,2.936,0.597,0.0,0.04,59.57,11.018,,healthy,0,41.406
00-0033077,2024,1,QB,DAL,77.67,0.0,0.0,1.0,0.0,1.0,1.0,1.718,8.807,2.55,0.49,0.111,0.036,64.698,10.922,,healthy,0,37.378
00-0033090,2024,1,TE,NE,36.428,30.32,0.645,1.0,1.0,1.0,1.0,1.172,7.807,0.096,0.508,0.0,0.095,60.63,10.451,,healthy,0,41.019
00-0033106,2024,1,QB,DET,48.695,0.0,0.0,1.0,0.0,1.0,1.0,0.988,3.622,0.843,0.448,0.106,0.078,64.667,14.578,,healthy,0,57.882
00-0033110,2024,1,TE,LA,84.025,24.151,0.638,1.0,1.0,1.0,1.0,2.356,4.669,0.688,0.407,0.0,0.043,66.202,12.568,,healthy,0,42.515
00-0033119,2024,1,QB,NE,64.765,0.0,0.0,1.0,0.0,1.0,1.0,1.93,7.217,0.0,0.406,0.207,0.1,62.418,8.045,,healthy,0,46.108
00-0033217,2024,1,TE,IND,86.463,31.027,0.289,0.583,1.0,1.0,1.0,1.87,5.577,0.415,0.472,0.0,-0.023,67.887,12.936,,healthy,0,36.328
00-0033246,2024,1,TE,MIN,27.235,31.518,0.519,1.0,1.0,1.0,1.0,1.107,5.516,0.506,0.523,0.0,0.036,52.558,12.654,,healthy,0,54.979
00-0033251,2024,1,WR,ARI,69.004,26.758,0.839,1.0,1.0,1.0,1.0,1.268,4.966,1.096,0.41,0.0,0.057,56.004,11.539,,healthy,0,40.518
00-0033275,2024,1,QB,SEA,74.987,0.0,0.0,1.0,0.0,1.0,1.0,2.12,8.915,1.284,0.411,0.006,-0.013,63.981,8.255,,healthy,0,46.038
00-0033280,2024,1,RB,SF,66.576,33.357,0.485,1.0,1.0,1.0,1.0,2.009,9.94,0.99,0.303,0.0,0.042,59.418,9.489,,healthy,0,40.594
00-0033282,2024,1,WR,BUF,63.237,21.811,1.22,1.0,1.0,1.0,1.0,1.341,6.208,2.635,0.374,0.0,0.1,54.49,9.749,,healthy,0,47.247
00-0033288,2024,1,TE,SF,50.999,28.826,0.575,1.0,1.0,1.0,1.0,2.039,3.742,3.389,0.475,0.0,0.067,52.379,11.225,,healthy,0,36.169
00-0033292,2024,1,WR,SF,70.757,23.572,0.559,1.0,1.0,1.0,1.0,2.592,10.623,2.586,0.578,0.0,0.012,65.33,12.149,,healthy,0,54.658
00-0033293,2024,1,RB,MIN,75.599,26.445,0.427,1.0,1.0,1.0,1.0,2.422,11.452,3.348,0.557,0.0,-0.037,60.124,10.23,,healthy,0,34.269
00-0033307,2024,1,WR,NE,60.181,40.081,0.286,1.0,1.0,1.0,1.0,2.499,8.566,1.403,0.49,0.0,-0.006,58.859,12.341,,healthy,0,41.136
00-0033308,2024,1,RB,SF,57.913,45.081,0.418,1.0,1.0,1.0,1.0,1.8,5.692,2.885,0.425,0.0,0.04,56.626,8.308,,healthy,0,40.592
00-0033319,2024,1,QB,MIN,86.671,0.0,0.0,1.0,0.0,1.0,1.0,1.707,7.673,2.13,0.558,-0.018,0.009,63.343,13.738,,healthy,0,32.662
00-0033357,2024,1,TE,NO,82.088,29.738,0.528,0.849,1.0,1.0,1.0,1.879,4.181,2.213,0.401,0.0,0.054,68.528,11.422,,healthy,0,56.086
00-0033375,2024,1,WR,DET,73.384,24.718,0.568,1.0,1.0,1.0,1.0,1.358,4.977,2.607,0.317,0.0,0.075,56.171,10.127,,healthy,0,52.82
00-0033376,2024,1,RB,BAL,59.156,34.309,0.475,1.0,1.0,1.0,1.0,1.162,7.51,0.181,0.463,0.0,0.108,70.543,10.08,,healthy,0,58.245
00-0033387,2024,1,TE,CAR,57.993,21.343,0.661,1.0,1.0,1.0,1.0,2.002,10.367,1.725,0.406,0.0,0.105,62.872,8.624,,healthy,0,37.166
00-0033439,2024,1,TE,SEA,48.122,24.384,0.488,0.42,1.0,1.0,1.0,1.655,4.498,1.538,0.425,0.0,0.127,62.722,8.568,,healthy,0,59.615
00-0033455,2024,1,TE,KC,62.227,21.788,0.619,1.0,1.0,1.0,1.0,1.985,9.361,1.24,0.623,0.0,0.109,57.944,10.769,,healthy,0,57.861
00-0033460,2024,1,WR,PHI,48.778,41.645,0.632,1.0,1.0,1.0,1.0,1.789,2.661,2.982,0.475,0.0,0.078,56.538,9.039,,healthy,0,55.649
00-0033466,2024,1,WR,MIA,59.623,24.742,0.634,1.0,1.0,1.0,1.0,2.538,3.322,1.406,0.385,0.0,0.042,63.05,14.653,,healthy,0,44.297
00-0033526,2024,1,RB,KC,62.589,28.877,0.505,1.0,1.0,1.0,1.0,0.934,5.61,2.852,0.524,0.0,0.123,55.393,7.245,,healthy,0,54.469
00-0033536,2024,1,WR,PIT,52.236,42.334,0.273,1.0,1.0,1.0,1.0,1.321,4.555,2.103,0.559,0.0,0.023,59.28,13.194,,healthy,0,46.463
00-0033537,2024,1,QB,CLE,46.4,0.0,0.0,1.0,0.0,0.69,0.551,1.88,8.18,0.486,0.515,-0.06,0.115,66.697,8.238,,healthy,0,62.693
00-0033553,2024,1,RB,ARI,62.42,27.604,0.471,1.0,1.0,1.0,1.0,1.067,6.067,2.635,0.429,0.0,-0.013,61.381,11.833,,healthy,0,56.398
00-0033555,2024,1,WR,BUF,37.708,30.465,0.775,1.0,1.0,1.0,1.0,1.46,5.023,2.008,0.444,0.0,0.096,59.818,15.354,,healthy,0,41.374
00-0033556,2024,1,RB,NYJ,76.988,15.48,0.495,1.0,1.0,1.0,1.0,1.233,3.358,1.906,0.427,0.0,-0.008,69.584,14.626,,healthy,0,33.565
00-0033572,2024,1,WR,PIT,19.324,31.636,0.404,0.091,1.0,1.0,1.0,2.171,9.668,1.353,0.6,0.0,0.056,49.25,10.724,,healthy,0,32.129
00-0033576,2024,1,TE,SF,57.367,26.969,0.612,1.0,1.0,1.0,1.0,1.512,4.019,3.489,0.341,0.0,0.02,60.822,8.979,,healthy,0,36.676
00-0033589,2024,1,WR,CAR,29.581,25.524,1.106,1.0,1.0,1.0,1.0,1.029,7.931,2.493,0.56,0.0,0.0,68.369,11.858,,healthy,0,41.93
00-0033591,2024,1,WR,WAS,33.788,41.152,0.504,1.0,1.0,1.0,1.0,0.984,5.896,0.184,0.341,0.0,0.057,69.402,13.738,,healthy,0,35.272
00-0033662,2024,1,QB,DAL,36.289,0.0,0.0,1.0,0.0,1.0,1.0,1.044,8.388,0.866,0.376,-0.041,0.121,63.365,12.824,,healthy,0,45.027
00-0033699,2024,1,RB,WAS,58.195,38.957,0.479,1.0,1.0,1.0,1.0,1.177,5.181,0.336,0.366,0.0,0.008,61.92,12.274,,healthy,0,49.901
00-0033757,2024,1,TE,KC,75.637,31.33,0.331,1.0,1.0,1.0,1.0,2.26,2.697,0.984,0.481,0.0,0.118,56.877,12.47,,healthy,0,42.385
00-0033854,2024,1,RB,HOU,52.167,37.139,0.469,1.0,1.0,1.0,1.0,1.742,9.933,2.431,0.493,0.0,0.023,59.443,13.147,,healthy,0,34.861
00-0033857,2024,1,WR,KC,48.521,32.153,0.724,0.087,1.0,1.0,1.0,2.374,9.195,3.309,0.532,0.0,0.012,51.784,10.94,,healthy,0,43.137
00-0033858,2024,1,TE,MIA,47.42,33.171,0.229,1.0,1.0,1.0,1.0,2.723,5.834,1.057,0.365,0.0,0.053,56.411,11.018,,healthy,0,50.561
00-0033869,2024,1,QB,BUF,82.764,0.0,0.0,1.0,0.0,1.0,1.0,1.175,6.046,2.691,0.34,0.05,0.136,59.658,12.776,,healthy,0,55.981
00-0033873,2024,1,QB,KC,67.483,0.0,0.0,1.0,0.0,1.0,1.0,1.49,9.264,0.955,0.366,0.01,-0.009,50.386,7.954,,healthy,0,38.558
00-0033881,2024,1,TE,JAX,63.479,37.455,0.322,1.0,1.0,1.0,1.0,2.022,10.136,2.611,0.568,0.0,-0.041,72.224,13.08,,healthy,0,49.919
00-0033885,2024,1,TE,CLE,20.865,21.631,0.302,0.086,1.0,1.0,1.0,1.222,6.775,1.503,0.412,0.0,0.1,66.59,8.422,,healthy,0,42.877
00-0033891,2024,1,WR,ARI,48.168,40.396,0.739,1.0,1.0,1.0,1.0,2.555,11.037,0.169,0.571,0.0,-0.02,64.747,11.713,,healthy,0,37.694
00-0033893,2024,1,RB,DAL,39.888,24.382,0.447,1.0,1.0,1.0,1.0,2.378,8.974,1.41,0.356,0.0,0.112,58.539,7.748,,healthy,0,40.909
00-0033895,2024,1,TE,CHI,75.939,17.869,0.752,1.0,1.0,1.0,1.0,1.508,11.317,3.283,0.392,0.0,0.081,69.92,9.541,,healthy,0,40.479
00-0033897,2024,1,RB,HOU,78.399,21.658,0.464,1.0,1.0,1.0,1.0,3.432,6.607,0.387,0.515,0.0,0.003,61.926,9.153,,healthy,0,33.537
00-0033906,2024,1,RB,NO,96.053,22.343,0.428,1.0,1.0,1.0,1.0,2.895,6.326,0.584,0.565,0.0,-0.031,51.076,9.537,,healthy,0,63.793
00-0033908,2024,1,WR,LA,39.383,28.354,0.564,1.0,1.0,1.0,1.0,3.317,9.461,0.442,0.36,0.0,0.06,63.746,10.196,,healthy,0,48.77
00-0033921,2024,1,WR,TB,52.026,25.41,0.862,1.0,1.0,1.0,1.0,1.605,3.436,1.91,0.575,0.0,0.004,60.204,15.92,,healthy,0,36.328
00-0033923,2024,1,RB,KC,44.338,40.083,0.429,1.0,1.0,1.0,1.0,3.164,4.754,0.254,0.568,0.0,0.037,66.593,13.745,,healthy,0,62.843
00-0033925,2024,1,RB,CLE,52.997,37.346,0.414,1.0,1.0,1.0,1.0,2.947,9.985,0.597,0.484,0.0,0.083,58.514,7.905,,healthy,0,38.182
00-0033936,2024,1,QB,JAX,41.332,0.0,0.0,1.0,0.0,0.764,0.608,2.965,7.078,0.398,0.435,0.105,0.079,50.064,11.999,,healthy,0,49.88
00-0033943,2024,1,WR,JAX,37.324,43.746,0.259,0.449,1.0,1.0,1.0,1.849,3.855,3.966,0.364,0.0,-0.046,67.919,11.138,,healthy,0,38.147
00-0033948,2024,1,RB,NO,36.943,19.685,0.453,1.0,1.0,1.0,1.0,2.256,3.897,0.177,0.542,0.0,0.127,53.277,11.218,,healthy,0,45.722
00-0033949,2024,1,QB,SF,92.351,0.0,0.0,1.0,0.0,1.0,1.0,3.077,8.708,2.96,0.476,-0.015,0.012,57.503,13.724,,healthy,0,51.189
00-0033955,2024,1,RB,WAS,90.126,40.208,0.508,1.0,1.0,1.0,1.0,2.596,3.927,3.163,0.377,0.0,-0.029,48.742,10.714,,healthy,0,39.472
00-0033958,2024,1,QB,ATL,94.566,0.0,0.0,1.0,0.0,1.0,1.0,2.565,8.366,3.027,0.397,0.171,-0.041,64.742,12.211,,healthy,0,40.901
00-0034054,2024,1,WR,MIA,22.684,26.821,0.757,1.0,1.0,1.0,1.0,2.628,8.171,1.602,0.572,0.0,0.089,64.53,15.181,,healthy,0,36.249
00-0034073,2024,1,TE,ATL,75.787,25.756,0.807,1.0,1.0,1.0,1.0,2.719,4.81,0.379,0.508,0.0,0.131,62.671,12.19,,healthy,0,34.286
00-0034104,2024,1,WR,CAR,62.72,40.078,0.641,1.0,1.0,1.0,1.0,3.331,4.627,1.688,0.359,0.0,0.084,72.987,12.484,,healthy,0,40.473
00-0034115,2024,1,RB,MIA,80.095,30.46,0.487,1.0,1.0,1.0,1.0,2.603,5.41,2.656,0.555,0.0,0.06,60.194,13.004,,healthy,0,43.004
00-0034159,2024,1,TE,LAC,57.184,26.23,0.765,1.0,1.0,1.0,1.0,2.01,10.495,2.323,0.396,0.0,0.037,51.966,13.801,,healthy,0,49.575
00-0034177,2024,1,QB,NYG,67.187,0.0,0.0,1.0,0.0,0.0,0.0,1.532,6.429,0.984,0.369,0.273,0.097,58.815,6.914,,healthy,0,44.425
00-0034184,2024,1,RB,LAC,43.107,36.469,0.42,1.0,1.0,1.0,1.0,2.093,7.942,1.664,0.35,0.0,0.014,62.328,12.426,,healthy,0,48.253
00-0034193,2024,1,TE,NO,39.192,20.942,0.942,0.813,1.0,1.0,1.0,3.488,5.088,2.597,0.6,0.0,-0.044,55.18,12.045,,healthy,0,47.141
00-0034208,2024,1,RB,CAR,90.178,44.648,0.465,1.0,1.0,1.0,1.0,2.472,9.208,2.021,0.371,0.0,-0.036,60.783,8.616,,healthy,0,52.624
00-0034270,2024,1,TE,NYJ,66.233,34.503,0.328,1.0,1.0,1.0,1.0,2.123,8.873,3.827,0.516,0.0,0.021,55.838,11.685,,healthy,0,52.348
00-0034272,2024,1,WR,NO,65.647,32.867,0.968,1.0,1.0,1.0,1.0,2.634,11.629,1.06,0.535,0.0,0.028,59.043,7.937,,healthy,0,39.894
00-0034279,2024,1,WR,NO,25.842,36.458,0.575,0.295,1.0,1.0,1.0,1.053,5.176,3.563,0.416,0.0,0.021,59.257,9.17,,healthy,0,32.066
00-0034297,2024,1,WR,WAS,25.055,24.698,0.692,1.0,1.0,1.0,1.0,1.07,6.734,3.62,0.528,0.0,-0.03,53.297,9.244,,healthy,0,32.417
00-0034317,2024,1,WR,BAL,24.253,24.441,0.841,0.297,1.0,1.0,1.0,2.84,5.691,0.963,0.537,0.0,-0.009,59.361,10.658,,healthy,0,48.927
00-0034348,2024,1,WR,DEN,35.899,30.875,0.834,1.0,1.0,1.0,1.0,3.035,6.817,0.791,0.336,0.0,0.046,68.076,10.784,,healthy,0,40.394
00-0034351,2024,1,TE,PHI,26.831,29.058,0.476,1.0,1.0,1.0,1.0,2.899,6.449,2.336,0.389,0.0,0.036,53.648,11.99,,healthy,0,55.833
00-0034353,2024,1,WR,BAL,50.14,25.892,0.679,1.0,1.0,1.0,1.0,2.706,4.346,1.363,0.446,0.0,0.101,52.638,13.56,,healthy,0,58.242
00-0034364,2024,1,TE,CLE,84.484,27.357,0.426,1.0,1.0,1.0,1.0,1.205,8.235,0.404,0.608,0.0,0.049,59.307,7.026,,healthy,0,40.638
00-0034365,2024,1,TE,CAR,33.466,27.558,0.649,1.0,1.0,1.0,1.0,2.317,5.005,3.178,0.468,0.0,0.02,57.394,12.971,,healthy,0,50.244
00-0034367,2024,1,RB,CLE,96.378,12.22,0.471,1.0,1.0,1.0,1.0,1.713,3.449,3.53,0.567,0.0,-0.005,61.568,8.363,,healthy,0,62.716
