player_id,season,week,position,team,snap_pct,routes,tprr,rush_share,target_share,goalline_share,two_min_share,yprr,yac_per_rec,mtf,succ_rate,epa_per_play_qb,team_epa_play,team_pace,team_rz_plays,injury_status,dnp_weeks_rolling,sos_ctx
00-0031595,2024,6,RB,DEN,85.0,50.0,0.5,25.0,25.0,37.4,29.9,2.54,12.0,2.4,0.417,0.0,-0.026,70.2,16.0,healthy,0,62.6
00-0031610,2024,6,TE,NYG,94.8,29.2,0.338,2.8,9.9,22.7,18.2,1.87,4.0,3.6,0.443,0.0,0.145,63.6,9.0,healthy,0,56.7
00-0031687,2024,6,RB,MIA,55.1,46.6,0.5,41.6,23.3,30.5,24.4,3.27,5.9,2.3,0.439,0.0,0.1,64.9,10.0,healthy,0,45.1
00-0031690,2024,6,TE,LAC,39.3,26.9,0.577,1.8,15.5,23.4,18.7,1.81,8.3,3.1,0.533,0.0,0.067,67.8,13.0,healthy,0,35.5
00-0031763,2024,6,WR,CHI,47.2,30.7,1.119,2.3,34.3,13.1,10.5,1.64,9.5,2.1,0.368,0.0,-0.038,59.6,10.0,healthy,0,40.8
00-0031800,2024,6,QB,LAC,95.5,0.0,0.0,7.6,0.0,1.8,1.4,1.48,11.5,3.0,0.526,-0.062,-0.031,60.4,8.0,healthy,0,54.0
00-0031868,2024,6,WR,BUF,87.8,28.3,0.704,2.2,19.9,14.7,11.7,3.15,7.6,2.0,0.501,0.0,0.077,63.3,14.0,healthy,0,44.4
00-0031941,2024,6,WR,WAS,47.8,32.0,0.561,4.7,17.9,13.1,10.5,3.05,4.6,0.2,0.404,0.0,0.006,59.2,13.0,healthy,0,41.7
00-0032104,2024,6,RB,LV,66.2,39.2,0.5,42.5,19.6,29.7,23.7,1.79,7.7,1.4,0.536,0.0,0.029,63.3,16.0,healthy,0,59.5
00-0032128,2024,6,WR,SF,84.3,25.7,0.718,4.7,18.4,11.1,8.9,1.86,3.5,2.5,0.592,0.0,0.133,59.5,12.0,healthy,0,36.2
00-0032134,2024,6,TE,PHI,74.9,36.3,0.328,1.2,11.9,23.6,18.9,2.53,5.4,2.8,0.573,0.0,0.015,70.4,10.0,healthy,0,61.7
00-0032141,2024,6,TE,CLE,63.8,36.6,0.553,1.7,20.2,25.0,20.0,1.17,4.3,3.4,0.519,0.0,0.004,69.1,11.0,healthy,0,35.3
00-0032156,2024,6,QB,TEN,71.0,0.0,0.0,9.2,0.0,6.4,5.1,1.46,4.4,1.5,0.533,-0.002,0.145,69.1,10.0,healthy,0,54.7
00-0032208,2024,6,WR,ATL,45.5,34.9,0.607,1.8,21.2,6.1,4.9,1.55,7.1,0.7,0.453,0.0,0.121,58.1,11.0,healthy,0,54.4
00-0032211,2024,6,WR,SEA,69.8,44.5,0.663,3.1,29.5,7.1,5.7,1.31,7.0,3.6,0.401,0.0,-0.035,68.5,13.0,healthy,0,63.3
00-0032268,2024,6,QB,WAS,56.0,0.0,0.0,8.8,0.0,7.6,6.1,1.65,12.0,2.8,0.605,0.228,0.101,60.1,13.0,healthy,0,38.0
00-0032385,2024,6,WR,TB,54.4,31.5,0.963,4.0,30.3,13.8,11.0,2.3,10.8,1.9,0.51,0.0,0.144,58.5,12.0,healthy,0,58.3
00-0032392,2024,6,TE,NE,60.3,32.3,0.325,0.3,10.5,22.4,17.9,2.73,5.0,0.6,0.556,0.0,0.059,63.0,13.0,healthy,0,63.3
00-0032394,2024,6,TE,TEN,72.6,33.3,0.417,1.2,13.9,28.3,22.7,1.01,5.8,3.5,0.39,0.0,-0.02,64.7,14.0,healthy,0,62.0
00-0032398,2024,6,WR,WAS,82.1,43.3,0.389,3.9,16.8,8.4,6.7,1.03,6.9,2.2,0.426,0.0,-0.021,60.5,14.0,healthy,0,42.8
00-0032434,2024,6,QB,SF,55.1,0.0,0.0,11.2,0.0,8.9,7.1,3.4,10.6,2.9,0.507,0.053,-0.026,62.0,13.0,healthy,0,64.9
00-0032436,2024,6,QB,WAS,72.6,0.0,0.0,13.9,0.0,7.2,5.8,1.19,11.3,1.0,0.618,-0.047,0.123,70.2,15.0,healthy,0,53.9
00-0032464,2024,6,WR,DET,27.4,25.5,0.645,3.9,16.5,11.9,9.5,1.57,5.5,1.8,0.522,0.0,0.009,61.7,10.0,healthy,0,47.8
00-0032543,2024,6,WR,HOU,71.3,37.4,0.349,1.7,13.0,14.0,11.2,1.87,5.8,2.9,0.458,0.0,0.144,71.7,15.0,healthy,0,48.4
00-0032688,2024,6,WR,MIA,49.2,40.5,0.713,3.3,28.9,13.0,10.4,1.87,10.1,1.9,0.424,0.0,-0.05,58.2,15.0,healthy,0,53.9
00-0032764,2024,6,RB,BAL,70.5,17.8,0.5,19.7,8.9,11.6,9.3,2.73,3.5,3.5,0.44,0.0,-0.032,66.4,13.0,healthy,0,59.1
00-0032775,2024,6,WR,LA,60.4,32.9,0.331,1.6,10.9,15.2,12.1,1.99,4.5,1.4,0.416,0.0,0.088,64.1,14.0,healthy,0,37.0
00-0032791,2024,6,WR,ATL,21.9,40.4,0.76,1.0,30.7,17.7,14.2,3.19,8.6,1.9,0.418,0.0,-0.025,60.7,9.0,healthy,0,59.7
00-0032792,2024,6,QB,DET,99.1,0.0,0.0,12.6,0.0,4.5,3.6,3.34,4.8,3.9,0.49,0.159,0.142,68.1,16.0,healthy,0,45.4
00-0032918,2024,6,RB,MIN,42.3,31.9,0.5,16.3,16.0,27.6,22.1,2.14,5.6,0.9,0.637,0.0,0.066,71.4,9.0,healthy,0,38.8
00-0032950,2024,6,QB,KC,54.4,0.0,0.0,5.9,0.0,8.5,6.8,2.35,8.7,3.0,0.554,-0.059,0.133,64.1,8.0,healthy,0,48.1
00-0032951,2024,6,WR,IND,43.9,35.9,0.835,2.4,30.0,18.8,15.1,3.43,3.1,3.5,0.49,0.0,0.134,69.3,13.0,healthy,0,43.3
00-0032977,2024,6,WR,CLE,54.0,42.3,0.724,3.8,30.7,17.7,14.1,1.15,3.2,3.8,0.59,0.0,0.016,66.2,11.0,healthy,0,62.1
00-0033009,2024,6,WR,TEN,35.4,40.8,0.533,3.9,21.7,15.1,12.0,1.21,8.7,0.8,0.422,0.0,0.086,65.1,14.0,healthy,0,46.8
00-0033040,2024,6,WR,MIA,79.9,25.0,0.456,4.2,11.4,8.7,7.0,1.5,11.7,0.9,0.624,0.0,0.128,64.7,15.0,healthy,0,39.5
00-0033045,2024,6,RB,LAC,45.4,38.2,0.5,42.1,19.1,34.7,27.8,1.24,10.0,3.4,0.643,0.0,0.044,61.5,11.0,healthy,0,43.0
00-0033077,2024,6,QB,DAL,89.5,0.0,0.0,14.9,0.0,5.8,4.6,1.98,9.4,2.6,0.516,0.133,0.042,66.8,13.0,healthy,0,41.8
00-0033090,2024,6,TE,NE,36.0,30.7,0.739,2.2,22.7,10.4,8.3,1.25,7.7,0.1,0.563,0.0,0.094,71.0,11.0,healthy,0,46.0
00-0033106,2024,6,QB,DET,55.7,0.0,0.0,6.4,0.0,9.4,7.5,1.12,3.7,0.9,0.51,0.119,0.079,70.5,16.0,healthy,0,57.1
00-0033110,2024,6,TE,LA,82.8,27.9,0.739,2.4,20.6,14.4,11.5,2.43,5.2,0.8,0.415,0.0,0.05,68.3,14.0,healthy,0,48.0
00-0033119,2024,6,QB,NE,71.8,0.0,0.0,9.9,0.0,9.4,7.5,2.04,7.5,0.0,0.468,0.205,0.117,64.7,9.0,healthy,0,55.1
00-0033217,2024,6,TE,IND,91.7,35.4,0.286,0.6,10.1,17.2,13.8,1.94,6.3,0.5,0.549,0.0,-0.025,68.4,13.0,healthy,0,39.4
00-0033246,2024,6,TE,MIN,27.5,37.5,0.529,2.1,19.9,13.3,10.6,1.23,5.8,0.5,0.517,0.0,0.042,58.3,13.0,healthy,0,59.5
00-0033251,2024,6,WR,ARI,73.9,27.3,0.951,4.2,26.0,14.6,11.7,1.36,5.6,1.1,0.478,0.0,0.061,66.7,12.0,healthy,0,49.4
00-0033275,2024,6,QB,SEA,73.7,0.0,0.0,6.0,0.0,4.8,3.8,2.46,9.0,1.3,0.478,0.006,-0.016,68.0,10.0,healthy,0,48.8
00-0033280,2024,6,RB,SF,75.5,40.0,0.5,33.0,20.0,32.2,25.7,2.15,10.1,1.1,0.354,0.0,0.05,62.0,10.0,healthy,0,46.5
00-0033282,2024,6,WR,BUF,68.3,26.5,1.316,3.5,34.9,10.7,8.6,1.34,6.3,2.9,0.397,0.0,0.11,63.9,10.0,healthy,0,51.5
00-0033288,2024,6,TE,SF,62.1,33.6,0.68,2.6,22.8,21.8,17.4,2.39,3.8,3.9,0.565,0.0,0.078,61.0,13.0,healthy,0,42.5
00-0033292,2024,6,WR,SF,79.6,28.5,0.615,2.6,17.5,17.3,13.8,2.89,11.7,2.6,0.59,0.0,0.013,69.5,14.0,healthy,0,60.5
00-0033293,2024,6,RB,MIN,90.6,29.7,0.5,22.1,14.8,38.7,31.0,2.53,11.4,3.6,0.644,0.0,-0.036,70.4,12.0,healthy,0,41.7
00-0033307,2024,6,WR,NE,66.1,41.3,0.281,4.7,11.6,6.5,5.2,2.94,9.0,1.5,0.595,0.0,-0.007,65.7,14.0,healthy,0,50.1
00-0033308,2024,6,RB,SF,67.9,49.0,0.5,42.8,24.5,11.1,8.9,1.84,6.7,3.1,0.504,0.0,0.047,66.7,9.0,healthy,0,48.1
00-0033319,2024,6,QB,MIN,93.6,0.0,0.0,14.4,0.0,2.4,1.9,1.99,8.1,2.2,0.64,-0.021,0.009,63.7,15.0,healthy,0,38.5
00-0033357,2024,6,TE,NO,93.1,32.7,0.556,1.0,18.2,25.9,20.7,1.9,4.7,2.6,0.402,0.0,0.054,70.3,13.0,healthy,0,56.1
00-0033375,2024,6,WR,DET,82.5,27.3,0.658,2.5,17.9,12.4,9.9,1.4,5.8,2.7,0.371,0.0,0.08,63.3,12.0,healthy,0,58.9
00-0033376,2024,6,RB,BAL,61.2,40.8,0.5,39.7,20.4,21.9,17.5,1.35,7.4,0.2,0.471,0.0,0.121,69.9,12.0,healthy,0,59.7
00-0033387,2024,6,TE,CAR,63.4,26.0,0.672,1.1,17.5,23.3,18.7,2.02,11.7,1.8,0.416,0.0,0.127,62.5,10.0,healthy,0,43.1
00-0033439,2024,6,TE,SEA,51.7,28.4,0.502,0.5,14.2,28.5,22.8,1.93,5.4,1.8,0.483,0.0,0.126,65.9,10.0,healthy,0,59.1
00-0033455,2024,6,TE,KC,67.2,24.8,0.673,2.5,16.7,15.4,12.3,2.42,10.1,1.5,0.621,0.0,0.12,67.6,11.0,healthy,0,57.2
00-0033460,2024,6,WR,PHI,49.0,42.2,0.623,4.7,26.3,17.6,14.1,1.98,3.1,3.4,0.515,0.0,0.09,63.9,11.0,healthy,0,63.6
00-0033466,2024,6,WR,MIA,67.9,27.2,0.625,4.7,17.0,15.4,12.3,2.75,3.5,1.6,0.424,0.0,0.046,64.2,15.0,healthy,0,44.5
00-0033526,2024,6,RB,KC,66.7,33.8,0.5,26.7,16.9,22.9,18.3,1.02,5.9,3.1,0.56,0.0,0.124,58.0,8.0,healthy,0,57.0
00-0033536,2024,6,WR,PIT,62.7,44.7,0.313,2.3,14.0,7.1,5.7,1.36,5.2,2.1,0.583,0.0,0.026,59.7,14.0,healthy,0,56.4
00-0033537,2024,6,QB,CLE,48.8,0.0,0.0,10.2,0.0,0.8,0.6,1.92,8.5,0.5,0.577,-0.061,0.119,67.4,10.0,healthy,0,64.4
00-0033553,2024,6,RB,ARI,69.6,27.8,0.5,22.4,13.9,27.6,22.1,1.05,6.3,3.1,0.431,0.0,-0.014,70.9,14.0,healthy,0,60.4
00-0033555,2024,6,WR,BUF,38.2,35.1,0.929,2.1,32.6,11.6,9.3,1.68,5.4,2.1,0.502,0.0,0.103,64.2,16.0,healthy,0,44.3
00-0033556,2024,6,RB,NYJ,76.1,16.1,0.5,24.8,8.1,23.6,18.9,1.29,3.5,2.1,0.491,0.0,-0.009,70.3,15.0,healthy,0,37.2
00-0033572,2024,6,WR,PIT,23.0,33.2,0.419,0.1,13.9,19.2,15.4,2.19,11.2,1.4,0.613,0.0,0.061,58.9,11.0,healthy,0,38.9
00-0033576,2024,6,TE,SF,60.3,30.4,0.679,1.3,20.7,26.1,20.9,1.73,4.3,3.9,0.364,0.0,0.021,61.4,10.0,healthy,0,38.2
00-0033589,2024,6,WR,CAR,31.0,25.7,1.338,4.7,34.3,7.1,5.6,1.19,8.7,2.7,0.598,0.0,-0.0,71.9,13.0,healthy,0,48.1
00-0033591,2024,6,WR,WAS,35.7,44.5,0.519,3.5,23.1,14.9,11.9,1.19,6.1,0.2,0.406,0.0,0.058,68.4,14.0,healthy,0,38.5
00-0033662,2024,6,QB,DAL,41.2,0.0,0.0,5.6,0.0,1.7,1.4,1.04,8.9,0.9,0.452,-0.049,0.121,68.8,13.0,healthy,0,44.3
00-0033699,2024,6,RB,WAS,68.5,46.4,0.5,24.3,23.2,25.5,20.4,1.26,6.0,0.4,0.44,0.0,0.008,71.1,14.0,healthy,0,60.1
00-0033757,2024,6,TE,KC,80.3,33.1,0.382,1.4,12.6,17.9,14.3,2.29,3.2,1.1,0.527,0.0,0.126,65.4,15.0,healthy,0,44.2
00-0033854,2024,6,RB,HOU,52.1,41.7,0.5,32.3,20.8,27.6,22.1,1.97,11.0,2.4,0.592,0.0,0.024,64.9,15.0,healthy,0,41.7
00-0033857,2024,6,WR,KC,52.1,33.6,0.821,0.1,27.6,11.6,9.3,2.81,10.1,3.4,0.536,0.0,0.013,63.0,11.0,healthy,0,46.3
00-0033858,2024,6,TE,MIA,50.1,35.6,0.257,2.8,9.2,10.3,8.2,3.11,5.9,1.2,0.377,0.0,0.057,58.1,13.0,healthy,0,55.2
00-0033869,2024,6,QB,BUF,84.7,0.0,0.0,12.2,0.0,7.2,5.7,1.3,6.8,3.1,0.382,0.054,0.138,65.6,13.0,healthy,0,60.9
00-0033873,2024,6,QB,KC,67.0,0.0,0.0,10.3,0.0,5.7,4.5,1.56,10.9,1.0,0.443,0.011,-0.01,58.3,8.0,healthy,0,39.5
00-0033881,2024,6,TE,JAX,62.5,39.5,0.333,1.2,13.2,10.0,8.0,2.08,11.1,2.9,0.583,0.0,-0.044,71.3,15.0,healthy,0,60.7
00-0033885,2024,6,TE,CLE,21.8,24.0,0.355,0.1,8.5,19.3,15.5,1.4,7.2,1.5,0.492,0.0,0.112,71.1,9.0,healthy,0,42.2
00-0033891,2024,6,WR,ARI,54.1,43.3,0.79,2.2,34.2,10.0,8.0,2.57,11.6,0.2,0.577,0.0,-0.021,65.2,12.0,healthy,0,37.7
00-0033893,2024,6,RB,DAL,43.4,28.4,0.5,32.2,14.2,27.2,21.7,2.84,10.5,1.4,0.368,0.0,0.137,70.2,8.0,healthy,0,40.9
00-0033895,2024,6,TE,CHI,91.6,20.8,0.801,2.9,16.6,25.6,20.5,1.76,11.7,3.7,0.39,0.0,0.083,70.4,11.0,healthy,0,42.9
00-0033897,2024,6,RB,HOU,80.3,22.2,0.5,37.2,11.1,35.1,28.1,3.37,6.6,0.4,0.625,0.0,0.003,68.7,11.0,healthy,0,38.8
00-0033906,2024,6,RB,NO,94.7,24.7,0.5,27.4,12.4,21.9,17.5,3.12,7.6,0.7,0.563,0.0,-0.034,58.5,10.0,healthy,0,64.3
00-0033908,2024,6,WR,LA,43.8,30.3,0.638,1.6,19.3,17.2,13.8,3.48,9.9,0.5,0.382,0.0,0.061,62.6,12.0,healthy,0,50.3
00-0033921,2024,6,WR,TB,63.1,25.5,0.982,4.4,25.1,10.7,8.6,1.72,3.7,1.9,0.618,0.0,0.004,59.1,16.0,healthy,0,42.3
00-0033923,2024,6,RB,KC,53.6,40.5,0.5,34.1,20.3,39.4,31.6,3.17,5.4,0.3,0.636,0.0,0.04,71.9,15.0,healthy,0,62.4
00-0033925,2024,6,RB,CLE,59.1,37.8,0.5,43.6,18.9,19.0,15.2,3.07,11.3,0.6,0.537,0.0,0.082,63.1,9.0,healthy,0,42.4
00-0033936,2024,6,QB,JAX,43.0,0.0,0.0,13.1,0.0,0.8,0.6,2.99,8.0,0.4,0.509,0.123,0.095,59.8,14.0,healthy,0,55.9
00-0033943,2024,6,WR,JAX,39.3,43.2,0.289,0.5,12.5,13.3,10.6,1.86,4.0,3.9,0.4,0.0,-0.047,69.3,12.0,healthy,0,41.3
00-0033948,2024,6,RB,NO,42.4,22.0,0.5,21.0,11.0,28.7,22.9,2.48,4.2,0.2,0.639,0.0,0.139,63.9,13.0,healthy,0,50.0
00-0033949,2024,6,QB,SF,94.3,0.0,0.0,13.0,0.0,4.9,3.9,3.19,9.5,3.4,0.514,-0.016,0.013,59.4,15.0,healthy,0,55.7
00-0033955,2024,6,RB,WAS,95.3,41.6,0.5,38.2,20.8,37.6,30.1,2.63,4.4,3.2,0.42,0.0,-0.033,58.2,11.0,healthy,0,40.1
00-0033958,2024,6,QB,ATL,96.4,0.0,0.0,8.6,0.0,1.9,1.5,2.76,9.1,3.1,0.432,0.202,-0.042,66.9,14.0,healthy,0,40.6
00-0034054,2024,6,WR,MIA,24.6,28.9,0.852,3.2,24.6,11.4,9.2,2.72,8.8,1.7,0.621,0.0,0.102,64.5,15.0,healthy,0,42.9
00-0034073,2024,6,TE,ATL,77.6,28.2,0.804,1.1,22.6,28.6,22.9,2.92,5.0,0.4,0.542,0.0,0.142,68.6,12.0,healthy,0,38.3
00-0034104,2024,6,WR,CAR,64.1,39.5,0.667,4.1,26.3,6.5,5.2,3.42,4.7,2.0,0.353,0.0,0.089,71.8,14.0,healthy,0,42.6
00-0034115,2024,6,RB,MIA,80.3,32.3,0.5,37.1,16.2,20.3,16.2,2.75,5.8,2.9,0.552,0.0,0.064,64.7,13.0,healthy,0,46.5
00-0034159,2024,6,TE,LAC,61.6,26.1,0.896,1.7,23.4,14.2,11.3,2.34,10.8,2.3,0.391,0.0,0.044,63.0,14.0,healthy,0,60.3
00-0034177,2024,6,QB,NYG,68.8,0.0,0.0,10.7,0.0,0.0,0.0,1.66,6.9,1.1,0.362,0.274,0.108,62.8,8.0,healthy,0,43.8
00-0034184,2024,6,RB,LAC,47.4,37.7,0.5,25.1,18.9,28.8,23.0,2.1,8.6,1.7,0.398,0.0,0.016,70.7,15.0,healthy,0,54.5
00-0034193,2024,6,TE,NO,42.1,21.7,0.944,0.8,20.5,15.3,12.2,3.44,5.1,3.0,0.65,0.0,-0.048,62.2,13.0,healthy,0,54.6
00-0034208,2024,6,RB,CAR,99.5,46.2,0.5,31.4,23.1,34.6,27.7,3.0,10.8,2.3,0.367,0.0,-0.038,66.7,10.0,healthy,0,58.4
00-0034270,2024,6,TE,NYJ,69.8,36.3,0.337,1.8,12.2,24.8,19.9,2.24,8.8,3.9,0.614,0.0,0.021,60.1,13.0,healthy,0,62.8
00-0034272,2024,6,WR,NO,72.5,34.5,1.005,5.0,34.7,19.0,15.2,3.01,11.7,1.1,0.635,0.0,0.03,63.8,8.0,healthy,0,47.1
00-0034279,2024,6,WR,NO,26.0,43.8,0.673,0.3,29.5,17.4,13.9,1.1,5.5,3.6,0.482,0.0,0.024,58.1,10.0,healthy,0,35.2
00-0034297,2024,6,WR,WAS,27.9,29.5,0.679,1.1,20.0,12.1,9.7,1.22,7.5,3.7,0.617,0.0,-0.031,64.8,10.0,healthy,0,35.9
00-0034317,2024,6,WR,BAL,28.1,29.1,0.868,0.3,25.2,7.7,6.2,3.02,6.1,1.0,0.568,0.0,-0.01,62.3,11.0,healthy,0,54.8
00-0034348,2024,6,WR,DEN,36.5,31.3,0.869,4.3,27.2,10.3,8.3,3.19,7.0,0.9,0.376,0.0,0.056,67.2,13.0,healthy,0,40.2
00-0034351,2024,6,TE,PHI,27.9,30.9,0.514,1.9,15.9,29.9,23.9,3.23,7.1,2.3,0.446,0.0,0.038,61.6,14.0,healthy,0,61.7
00-0034353,2024,6,WR,BAL,51.6,27.6,0.729,4.6,20.1,8.5,6.8,3.02,4.8,1.4,0.488,0.0,0.118,61.5,15.0,healthy,0,59.9
00-0034364,2024,6,TE,CLE,90.7,30.8,0.42,1.9,13.0,24.5,19.6,1.31,8.6,0.4,0.625,0.0,0.056,65.3,8.0,healthy,0,42.7
00-0034365,2024,6,TE,CAR,38.7,33.5,0.73,1.2,24.5,24.3,19.4,2.74,5.1,3.4,0.554,0.0,0.02,69.5,14.0,healthy,0,52.6
00-0034367,2024,6,RB,CLE,94.9,14.0,0.5,31.1,7.0,35.0,28.0,1.97,3.4,3.7,0.629,0.0,-0.006,62.8,9.0,healthy,0,62.9
00-0034383,2024,6,TE,HOU,64.9,24.1,0.584,0.9,14.1,15.8,12.6,1.81,3.6,0.2,0.495,0.0,0.028,59.6,13.0,healthy,0,61.8
00-0034386,2024,6,WR,KC,65.9,38.1,0.412,2.3,15.7,7.5,6.0,3.39,6.2,2.1,0.493,0.0,-0.031,64.8,14.0,healthy,0,64.9
