# Tiber Fantasy Data Lab Export
# Module: red-zone
# Position: RB | Season: 2025 | Weeks: 1-18
# Players: 136 | Exported: 2026-03-01T22:38:12.766Z
# Percentage columns are expressed as whole numbers (e.g. 45.2 = 45.2%)
#
# Sample AI prompt (copy-paste this along with the data into your AI):
# "Using this 2025 red zone data, calculate a TD Equity score: 0.5*RZ Snap Rate % + 0.3*RZ Target Share % + 0.2*RZ Success Rate %. Flag players in the top 10 by TD Equity but bottom half in actual TDs — these are your positive TD regression candidates."

Player,Team,Position,Games Played,Total Snaps,RZ Snaps,RZ Snap Rate %,RZ Success Rate %,RZ Targets,RZ Receptions,RZ Receiving TDs,RZ Target Share %,RZ Catch Rate %,RZ Rush Attempts,RZ Rush TDs,RZ Rush TD Rate %,RZ Pass Attempts,RZ Pass TDs,RZ TD Rate %,RZ Interceptions,Total Rec TDs,Total Rush TDs,Fantasy Points (Std),Fantasy Points (Half),Fantasy Points (PPR)
I.Pacheco,KC,RB,13,424,24,0.3,0.0,4,2,1,9.6,33.3,20,1,5.0,0,0,,0,1,1,68.3,77.8,87.3
Ty.Johnson,BUF,RB,17,335,23,0.1,0.0,4,2,1,3.3,50.0,19,3,12.2,0,0,,0,2,3,73.1,85.1,97.1
B.Irving,TB,RB,10,421,22,0.3,0.0,4,3,1,18.3,75.0,18,1,3.7,0,0,,0,3,1,110.5,125.5,140.5
O.Gordon,MIA,RB,15,194,21,0.2,0.0,2,2,1,3.0,100.0,19,3,18.8,0,0,,0,1,3,47.1,50.6,54.1
T.Pollard,TEN,RB,17,657,20,0.2,0.0,1,1,0,7.1,100.0,19,3,13.3,0,0,,0,0,5,158.8,175.3,191.8
J.Dobbins,DEN,RB,10,340,20,0.3,0.0,0,0,0,0.0,,20,4,20.4,0,0,,0,0,4,104.9,110.4,115.9
A.Kamara,NO,RB,11,457,20,0.3,0.0,5,4,0,8.5,83.3,15,1,6.3,0,0,,0,0,1,71.7,88.2,104.7
A.Jones,MIN,RB,12,366,19,0.3,0.0,5,3,0,16.7,50.0,14,2,15.6,0,0,,0,1,2,92.7,106.7,120.7
T.Bigsby,PHI,RB,11,138,19,0.2,0.0,1,1,0,1.9,100.0,18,1,2.4,0,0,,0,0,2,50.8,52.3,53.8
T.Spears,TEN,RB,13,374,17,0.2,0.0,7,7,0,10.4,100.0,10,2,11.1,0,0,,0,0,2,66.7,89.2,111.7
S.Perine,CIN,RB,14,326,17,0.2,0.0,1,1,0,1.8,100.0,16,2,11.9,0,0,,0,0,3,64.9,73.4,81.9
B.Smith,KC,RB,15,179,17,0.2,0.0,7,6,1,10.4,83.3,10,0,0.0,0,0,,0,1,0,38.3,50.8,63.3
B.Robinson,SF,RB,15,182,17,0.2,0.0,4,3,0,4.9,75.0,13,2,14.8,0,0,,0,0,2,54.5,58.5,62.5
M.Carter,ARI,RB,13,393,15,0.2,0.0,7,4,0,7.0,50.0,8,1,7.1,0,0,,0,0,1,66.0,82.5,99.0
N.Chubb,HOU,RB,15,326,15,0.1,0.0,2,1,0,4.5,50.0,13,1,5.6,0,0,,0,0,3,75.3,81.8,88.3
K.Mitchell,BAL,RB,12,130,14,0.2,0.0,0,0,0,0.0,,14,1,10.0,0,0,,0,0,1,46.4,50.9,55.4
D.Sampson,CLE,RB,15,249,13,0.1,0.0,6,4,1,11.0,62.5,7,0,0.0,0,0,,0,2,0,56.6,73.1,89.6
R.Davis,BUF,RB,13,154,12,0.1,0.0,5,4,2,7.2,87.5,7,0,0.0,0,0,,0,2,0,48.1,53.1,58.1
J.Wright,MIA,RB,9,118,12,0.1,0.0,0,0,0,0.0,,12,2,20.8,0,0,,0,0,2,45.2,47.7,50.2
I.Davis,NYJ,RB,15,276,11,0.1,0.0,2,1,0,1.7,50.0,9,0,0.0,0,0,,0,0,1,48.2,58.7,69.2
J.Ford,CLE,RB,13,269,10,0.1,0.0,6,5,0,16.5,80.0,4,0,0.0,0,0,,0,0,0,17.6,30.6,43.6
J.McNichols,WAS,RB,16,321,9,0.1,0.0,3,2,0,4.7,75.0,6,0,0.0,0,0,,0,0,1,47.9,60.4,72.9
E.Demercado,ARI,RB,11,195,9,0.1,0.0,4,3,1,5.9,66.7,5,0,0.0,0,0,,0,1,0,47.3,53.8,60.3
D.Ogunbowale,HOU,RB,9,99,9,0.1,0.0,3,2,0,3.7,66.7,6,1,33.3,0,0,,0,0,1,16.1,21.1,26.1
B.Allen,NYJ,RB,4,58,9,0.3,0.0,2,1,0,15.9,50.0,7,1,8.3,0,0,,0,0,1,15.3,16.3,17.3
M.Davis,DAL,RB,9,154,8,0.1,0.0,0,0,0,0.0,,8,1,5.0,0,0,,0,0,2,38.6,39.6,40.6
M.Sanders,DAL,RB,4,65,7,0.2,0.0,1,1,0,2.1,100.0,6,1,16.7,0,0,,0,0,1,20.7,24.7,28.7
J.Blue,DAL,RB,5,78,7,0.0,0.0,0,0,0,0.0,,7,1,8.3,0,0,,0,0,1,19.4,19.9,20.4
R.Sanders,CLE,RB,4,59,7,0.3,0.0,0,0,0,0.0,,7,1,16.7,0,0,,0,0,1,17.3,18.8,20.3
D.Neal,NO,RB,9,268,6,0.1,0.0,1,1,0,4.2,100.0,5,2,44.4,0,0,,0,0,2,43.0,51.5,60.0
K.Juszczyk,SF,RB,15,444,6,0.1,0.0,5,5,2,7.1,100.0,1,0,0.0,0,0,,0,2,0,33.0,45.0,57.0
A.Estime,NO,RB,4,121,6,0.1,0.0,0,0,0,0.0,,6,0,0.0,0,0,,0,0,1,36.1,42.1,48.1
Z.Scott,MIN,RB,9,105,6,0.1,0.0,3,3,1,4.3,100.0,3,0,0.0,0,0,,0,1,0,27.2,34.2,41.2
T.Badie,DEN,RB,14,182,6,0.0,0.0,4,3,0,3.3,83.3,2,0,0.0,0,0,,0,0,0,16.4,25.9,35.4
J.Conner,ARI,RB,3,93,6,0.3,0.0,1,1,1,8.3,100.0,5,1,16.7,0,0,,0,1,1,25.3,29.3,33.3
C.Brooks,GB,RB,14,186,6,0.1,0.0,3,1,0,7.1,33.3,3,0,0.0,0,0,,0,0,0,19.7,26.2,32.7
J.Patterson,LAC,RB,6,116,6,0.2,0.0,0,0,0,0.0,,6,1,10.0,0,0,,0,0,1,22.7,24.2,25.7
L.Allen,JAX,RB,14,220,6,0.1,0.0,2,2,0,2.6,100.0,4,0,0.0,0,0,,0,0,0,14.8,19.8,24.8
D.Giddens,IND,RB,5,60,6,0.1,0.0,1,0,0,2.5,0.0,5,0,0.0,0,0,,0,0,0,9.6,9.6,9.6
H.Luepke,DAL,RB,11,174,5,0.1,0.0,4,4,1,5.8,100.0,1,0,0.0,0,0,,0,1,0,24.0,30.5,37.0
T.Benson,ARI,RB,4,123,5,0.2,0.0,2,1,0,8.3,50.0,3,0,0.0,0,0,,0,0,0,22.4,28.9,35.4
K.Miller,NO,RB,7,113,5,0.1,0.0,0,0,0,0.0,,5,1,12.5,0,0,,0,0,1,28.3,30.8,33.3
J.McLaughlin,DEN,RB,8,85,5,0.1,0.0,0,0,0,0.0,,5,1,12.5,0,0,,0,0,1,27.4,29.4,31.4
J.Jordan,HOU,RB,4,79,5,0.2,0.0,0,0,0,0.0,,5,0,0.0,0,0,,0,0,0,22.7,26.2,29.7
R.Mostert,LV,RB,12,137,5,0.1,0.0,1,1,0,5.0,100.0,4,0,0.0,0,0,,0,0,0,17.4,23.4,29.4
G.Holani,SEA,RB,4,36,5,0.2,0.0,0,0,0,0.0,,5,1,16.7,0,0,,0,0,1,14.8,15.8,16.8
J.Hill,BAL,RB,9,203,4,0.1,0.0,1,1,1,12.5,100.0,3,1,33.3,0,0,,0,1,2,44.2,54.7,65.2
A.Abdullah,IND,RB,12,85,4,0.1,0.0,1,1,0,1.2,100.0,3,1,25.0,0,0,,0,0,1,21.9,29.9,37.9
A.Gibson,NE,RB,5,52,4,0.1,0.0,0,0,0,0.0,,4,1,16.7,0,0,,0,0,1,17.2,18.2,19.2
A.Prentice,DEN,RB,12,167,4,0.0,0.0,2,1,0,1.9,50.0,2,0,0.0,0,0,,0,0,0,9.7,12.7,15.7
T.Jennings,NE,RB,5,39,4,0.1,0.0,0,0,0,0.0,,4,1,16.7,0,0,,0,0,1,14.2,14.7,15.2
T.Etienne,CAR,RB,8,50,4,0.1,0.0,0,0,0,0.0,,4,0,0.0,0,0,,0,0,0,10.7,12.2,13.7
K.Johnson,PIT,RB,10,51,4,0.1,0.0,0,0,0,0.0,,4,0,0.0,0,0,,0,0,0,7.8,8.3,8.8
K.Herbert,NYJ,RB,3,50,4,0.1,0.0,1,0,0,5.6,0.0,3,0,0.0,0,0,,0,0,0,5.6,6.1,6.6
J.Chestnut,TEN,RB,7,31,4,0.1,0.0,0,0,0,0.0,,4,0,0.0,0,0,,0,0,0,4.0,4.0,4.0
R.Ali,BAL,RB,8,115,3,0.1,0.0,1,1,0,1.8,100.0,2,0,0.0,0,0,,0,1,0,15.2,19.7,24.2
A.Beck,NYJ,RB,7,55,3,0.0,0.0,2,2,2,8.4,100.0,1,0,0.0,0,0,,0,2,0,17.0,20.0,23.0
A.Dillon,PHI,RB,6,45,3,0.1,0.0,1,1,0,2.9,100.0,2,0,0.0,0,0,,0,0,0,8.1,9.6,11.1
C.Kiner,ARI,RB,4,30,3,0.1,0.0,1,1,0,6.3,100.0,2,0,0.0,0,0,,0,0,0,7.3,8.3,9.3
T.Chandler,MIN,RB,2,42,3,0.0,0.0,2,1,0,16.7,50.0,1,0,0.0,0,0,,0,0,0,5.8,7.3,8.8
E.Hull,NO,RB,6,77,3,0.1,0.0,0,0,0,0.0,,3,0,0.0,0,0,,0,0,0,5.4,5.9,6.4
K.Nwangwu,NYJ,RB,2,27,3,0.4,0.0,0,0,0,0.0,,3,0,0.0,0,0,,0,0,0,4.9,4.9,4.9
T.Williams,LAC,RB,5,80,2,0.1,0.0,2,2,0,14.6,100.0,0,0,,0,0,,0,0,0,9.1,13.1,17.1
C.Ham,MIN,RB,4,69,2,0.1,0.0,0,0,0,0.0,,2,2,100.0,0,0,,0,0,2,13.6,14.6,15.6
A.Ekeler,WAS,RB,2,69,2,0.1,0.0,0,0,0,0.0,,2,0,0.0,0,0,,0,0,0,8.1,10.6,13.1
H.Haskins,LAC,RB,5,68,2,0.1,0.0,0,0,0,0.0,,2,0,0.0,0,0,,0,0,0,6.0,8.0,10.0
B.Brooks,HOU,RB,3,40,2,0.1,0.0,0,0,0,0.0,,2,0,0.0,0,0,,0,0,0,7.8,7.8,7.8
R.Gilliam,BUF,RB,3,38,2,0.1,0.0,1,0,0,16.7,0.0,1,0,0.0,0,0,,0,0,0,2.8,3.8,4.8
W.Shipley,PHI,RB,11,94,1,0.0,0.0,1,0,0,1.6,0.0,0,0,,0,0,,0,0,0,10.5,15.0,19.5
A.Ingold,MIA,RB,9,186,1,0.0,0.0,0,0,0,0.0,,1,0,0.0,0,0,,0,0,0,6.1,10.1,14.1
N.Harris,LAC,RB,3,43,1,0.1,0.0,0,0,0,0.0,,1,0,0.0,0,0,,0,0,0,8.6,10.1,11.6
S.Matlock,LAC,RB,3,77,1,0.0,0.0,1,1,1,10.0,100.0,0,0,,0,0,,0,1,0,7.2,9.2,11.2
P.Mafah,DAL,RB,1,10,1,,0.0,0,0,0,0.0,,1,1,100.0,0,0,,0,0,1,8.9,9.9,10.9
T.Goodson,IND,RB,7,33,1,0.0,0.0,1,0,0,2.0,0.0,0,0,,0,0,,0,0,0,3.2,4.2,5.2
D.Pierce,KC,RB,3,28,1,0.1,0.0,0,0,0,0.0,,1,0,0.0,0,0,,0,0,0,3.6,3.6,3.6
D.Johnson,NE,RB,5,45,1,0.0,0.0,0,0,0,0.0,,1,0,0.0,0,0,,0,0,0,2.5,2.5,2.5
D.Dallas,JAX,RB,2,14,1,0.1,0.0,0,0,0,0.0,,1,0,0.0,0,0,,0,0,0,2.1,2.1,2.1
B.Brown,CHI,RB,1,14,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,1,9.7,9.7,9.7
Z.White,LV,RB,5,62,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,5.6,7.6,9.6
C.Akers,MIN,RB,2,8,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,7.2,7.2,7.2
T.Brooks,CIN,RB,6,46,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,5.4,5.9,6.4
D.Laube,LV,RB,4,26,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,2.7,4.2,5.7
R.Rivers,LA,RB,2,15,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,4.6,4.6,4.6
C.Edwards-Helaire,KC,RB,2,19,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,2.2,3.2,4.2
C.Yankoff,WAS,RB,3,34,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,1.8,2.8,3.8
V.Jones,SEA,RB,1,6,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,3.2,3.2,3.2
P.Ricard,BAL,RB,3,92,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,1.1,1.6,2.1
J.Wright,SEA,RB,1,5,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,2.0,2.0,2.0
J.Williams,TB,RB,1,6,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,1.1,1.1,1.1
K.Mullings,TEN,RB,3,8,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,0.7,0.7,0.7
O.Wright,TB,RB,1,5,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,0.6,0.6,0.6
E.Mitchell,KC,RB,1,7,0,0.0,,0,0,0,0.0,,0,0,,0,0,,0,0,0,0.0,0.0,0.0
