# Tiber Fantasy Data Lab Export
# Module: qb
# Position: QB | Season: 2025 | Weeks: 1-18
# Players: 74 | Exported: 2026-03-01T16:20:33.940Z
# Percentage columns are expressed as whole numbers (e.g. 45.2 = 45.2%)
#
# Sample AI prompt (copy-paste this along with the data into your AI):
# "Using this 2025 QB data, build a process-over-results score: 0.4*CPOE + 0.3*EPA/Play + 0.3*Success Rate %. Identify which QBs rank top 5 in process but outside top 10 in fantasy points — these are prime buy-low targets in dynasty."

Player,Team,Games Played,Dropbacks,CPOE,ANY/A,FP/Dropback,EPA/Play,Success Rate %,Sacks,Sack Rate %,Sack Yards,QB Hits,QB Hit Rate %,Deep Pass Attempts,Deep Pass %,aDOT,Shotgun %,No Huddle %,Shotgun Success %,Under Center Success %,Pass First Downs,Pass 1st Down Rate %,Scrambles,Scramble Yards,Scramble TDs,Rush Attempts,Rush Yards,Rush TDs,Rush EPA,Fantasy Points (Std),Fantasy Points (Half),Fantasy Points (PPR)
C.Wentz,MIN,5,188,,5.6,0.38,-0.27,0.0,0,0.0,0,0,0.0,14,6.9,6.8,,,,,58,31.5,0,0,0,11,57,0,-0.27,67.5,67.5,67.5
D.Mills,HOU,6,169,,4.2,0.36,0.30,0.0,0,0.0,0,0,0.0,13,5.3,8.5,,,,,48,30.2,0,0,0,11,63,1,0.30,64.5,64.5,64.5
T.Taylor,NYJ,6,147,,0.8,0.30,0.09,0.0,0,0.0,0,0,0.0,18,11.8,7.4,,,,,41,23.9,0,0,0,25,145,1,0.09,62.4,62.4,62.4
D.Gabriel,CLE,9,146,,3.9,0.36,0.05,0.0,0,0.0,0,0,0.0,8,2.7,6.0,,,,,35,23.8,0,0,0,13,87,0,0.05,57.8,57.8,57.8
J.Browning,CIN,5,134,,3.0,0.43,0.96,0.0,0,0.0,0,0,0.0,17,10.1,7.4,,,,,33,38.5,0,0,0,8,40,1,0.96,54.5,54.5,54.5
M.Willis,GB,4,38,,9.2,1.53,0.66,0.0,0,0.0,0,0,0.0,8,9.9,5.3,,,,,19,49.0,0,0,0,18,127,2,0.66,53.0,53.0,53.0
R.Wilson,NYG,6,129,,3.5,0.24,-0.18,0.0,0,0.0,0,0,0.0,18,7.6,6.0,,,,,32,14.8,0,0,0,18,106,0,-0.18,47.2,47.2,47.2
J.Winston,NYG,3,69,,1.2,0.43,1.19,0.0,0,0.0,0,0,0.0,6,5.6,7.3,,,,,25,24.3,0,0,0,5,25,1,0.88,44.1,44.6,45.1
R.Leonard,IND,5,70,,-6.8,-0.16,0.93,0.0,0,0.0,0,0,0.0,6,22.9,13.8,,,,,18,10.9,0,0,0,5,28,2,0.93,36.7,36.7,36.7
T.Huntley,BAL,3,56,,6.5,0.54,0.22,0.0,0,0.0,0,0,0.0,2,2.8,5.8,,,,,16,26.7,0,0,0,16,117,0,0.22,33.4,33.4,33.4
Q.Ewers,MIA,4,91,,5.1,0.32,-0.57,0.0,0,0.0,0,0,0.0,10,10.9,7.5,,,,,29,29.4,0,0,0,6,21,0,-0.43,30.0,30.5,31.0
M.Trubisky,BUF,4,37,,10.8,0.58,-0.01,0.0,0,0.0,0,0,0.0,1,1.1,8.9,,,,,19,50.5,0,0,0,2,13,0,-0.01,29.9,29.9,29.9
J.Johnson,WAS,3,54,,4.2,0.39,-0.35,0.0,0,0.0,0,0,0.0,2,3.0,5.1,,,,,21,35.4,0,0,0,11,56,1,-0.35,25.9,25.9,25.9
B.Cook,NYJ,5,173,,2.1,0.15,-0.75,0.0,0,0.0,0,0,0.0,8,4.3,4.9,,,,,35,20.5,0,0,0,13,49,0,-0.75,23.5,23.5,23.5
T.Lance,LAC,4,59,,6.0,0.51,0.20,0.0,0,0.0,0,0,0.0,9,11.7,8.2,,,,,10,19.2,0,0,0,15,87,0,0.20,18.1,18.1,18.1
M.Rudolph,PIT,4,54,,-0.3,0.10,0.45,0.0,0,0.0,0,0,0.0,3,2.3,4.2,,,,,17,31.1,0,0,0,3,7,0,0.45,16.7,16.7,16.7
T.McKee,PHI,2,46,,7.8,0.50,0.68,0.0,0,0.0,0,0,0.0,4,4.7,9.1,,,,,16,65.1,0,0,0,3,12,0,0.68,13.6,13.6,13.6
J.Milton,DAL,3,24,,6.6,0.62,-2.30,0.0,0,0.0,0,0,0.0,4,12.0,10.0,,,,,9,47.0,0,0,0,5,50,0,-2.30,12.2,12.2,12.2
A.Dalton,CAR,3,45,,7.4,0.47,-2.83,0.0,0,0.0,0,0,0.0,4,15.0,9.1,,,,,17,42.4,0,0,0,2,1,0,-2.83,11.6,11.6,11.6
C.Oladokun,KC,3,62,,2.6,0.18,-1.73,0.0,0,0.0,0,0,0.0,6,9.5,4.4,,,,,10,16.1,0,0,0,5,18,0,-1.73,11.5,11.5,11.5
K.Pickett,LV,6,52,,1.6,0.14,-0.83,0.0,0,0.0,0,0,0.0,4,6.4,4.8,,,,,8,8.4,0,0,0,5,22,0,-0.83,7.6,7.6,7.6
M.Brosmer,MIN,6,85,,2.9,0.14,0.90,0.0,0,0.0,0,0,0.0,5,3.6,2.6,,,,,18,26.1,0,0,0,2,16,0,0.90,6.7,6.7,6.7
B.Allen,TEN,1,31,,1.3,0.15,,0.0,0,0.0,0,0,0.0,1,3.2,3.5,,,,,3,9.7,0,0,0,0,0,0,,4.6,4.6,4.6
A.O'Connell,LV,1,23,,4.2,0.20,0.16,0.0,0,0.0,0,0,0.0,2,8.7,8.0,,,,,5,21.7,0,0,0,1,7,0,0.16,4.6,4.6,4.6
S.Buechele,KC,1,19,,3.5,0.16,-0.83,0.0,0,0.0,0,0,0.0,2,10.5,7.3,,,,,4,21.1,0,0,0,1,4,0,-0.83,3.0,3.0,3.0
J.Dobbs,NE,4,10,,6.3,0.27,-1.00,0.0,0,0.0,0,0,0.0,2,12.5,13.1,,,,,3,37.5,0,0,0,1,2,0,-1.00,2.8,2.8,2.8
T.Bagent,CHI,2,4,,14.5,0.70,-0.19,0.0,0,0.0,0,0,0.0,1,16.7,3.3,,,,,2,66.7,0,0,0,2,7,0,-0.19,2.6,2.6,2.6
C.Rush,BAL,2,34,,2.7,0.09,,0.0,0,0.0,0,0,0.0,2,4.8,5.4,,,,,10,28.2,0,0,0,0,0,0,,2.6,2.6,2.6
A.Richardson,IND,2,2,,4.5,1.13,1.07,0.0,0,0.0,0,0,0.0,1,50.0,15.5,,,,,1,50.0,0,0,0,1,2,0,1.69,1.5,2.0,2.5
T.Bridgewater,TB,1,17,,0.0,0.13,-0.02,0.0,0,0.0,0,0,0.0,0,0.0,5.8,,,,,2,11.8,0,0,0,1,6,0,-0.02,2.2,2.2,2.2
Z.Wilson,MIA,2,11,,1.3,0.07,-0.24,0.0,0,0.0,0,0,0.0,2,8.3,1.2,,,,,3,12.5,0,0,0,1,3,0,-0.24,1.6,1.6,1.6
N.Mullens,JAX,2,3,,5.5,0.22,,0.0,0,0.0,0,0,0.0,0,0.0,0.5,,,,,2,50.0,0,0,0,0,0,0,,0.7,0.7,0.7
D.Lock,SEA,3,3,,5.0,0.20,-0.48,0.0,0,0.0,0,0,0.0,0,0.0,1.7,,,,,1,33.3,0,0,0,2,0,0,-0.48,0.6,0.6,0.6
C.Tune,GB,2,20,,-4.2,-0.11,0.20,0.0,0,0.0,0,0,0.0,0,0.0,4.0,,,,,2,13.3,0,0,0,4,24,0,0.20,0.3,0.3,0.3
K.Allen,DET,1,2,,0.0,0.00,,0.0,0,0.0,0,0,0.0,0,0.0,5.0,,,,,0,0.0,0,0,0,0,0,0,,0.0,0.0,0.0
K.Slovis,ARI,2,2,,0.0,-0.04,,0.0,0,0.0,0,0,0.0,0,0.0,1.5,,,,,0,0.0,0,0,0,0,0,0,,-0.1,-0.1,-0.1
